Sentence,Aspect Term,polarity
"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...",Italian food,positive
The service is a little scatty at times but all is forgiven when the food arrives.,food,positive
"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!",dumplings,positive
Winnie and her staff are the best crew you can find serving you.,crew,positive
"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.",tomato sauce,negative
The sandwhiches are out-of-this world!,sandwhiches,positive
The food is usually good but it certainly isn't a relaxing place to go.,food,positive
"They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!",cater,positive
"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",taste,negative
The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,butter,negative
The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,soy sauce,positive
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.",noodles with ground beef,positive
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,bar,neutral
"If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.",business dinner,positive
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,food,negative
This place has many different styles of pizza and they are all amazing.,styles of pizza,positive
"If it isn't for the food (A+++), it must be the service or the ambience.",ambience,positive
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,positive
"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.",menu,positive
"Butter was melted, white wine warm, cheese oozing everywhere.",Butter,negative
"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress,negative
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive
"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",iceberg,neutral
"The food is amazing, rich pastas and fresh doughy pizza.",pastas,positive
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.",table service,conflict
"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",tables,positive
Indoor was very cozy and cute.,Indoor,positive
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",prices,positive
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,positive
The bar is very well stocked with interesting beers and well priced wines.,priced,positive
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,spaghetti with Scallops and Shrimp,positive
It's a great place to pick up a cheap lunch or dinner.,lunch,positive
"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",waitstaff,positive
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",jazz brunch,positive
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive
Not impressed with the food.,food,negative
"So, for good food i'd recommend it, but not for a fun night out.",food,positive
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",wine list,positive
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",prices,positive
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,positive
And they provided a delicious dessert on the house!,dessert,positive
"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,positive
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",dish,positive
Great sushi experience.,sushi,positive
The fried dumplings are GREAT!,fried dumplings,positive
"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.",dishes,neutral
The banana tower is an amazing dessert as well.,banana tower,positive
Try their plain pizza with fresh garlic or eggplant.,eggplant,positive
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",waiters,positive
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,food,positive
"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",bar,neutral
We could have made a meal of the yummy dumplings from the dumpling menu.,dumpling menu,positive
The staff is courteous and friendly.,staff,positive
Moderate prices.,prices,neutral
This is a cute place and could be good but they need to get their act together.,place,positive
Delicious food at a great price but do not go here on a cold day and sit by the front door.,front door,neutral
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",wine list,positive
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",regular menu-fare,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive
"The food is expensive, but worth every bite.",food,conflict
Plus they made a perfect martini.,martini,positive
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,atmosphere,positive
Great place to grab a hot bagel on the way to work.,hot bagel,positive
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",blond wood decor,positive
"The food is good, I can't lie.",food,positive
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",decor,positive
For those prices and the dressed up atmosphere you expect more and should get more.,atmosphere,negative
"Great food, great prices, great service.",food,positive
"Also, top the meal with a delicious and perfect slice of tiramisu.",meal,neutral
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",flavor,negative
This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive
You can even get packages of the chutneys to stock your fridge!,chutneys,positive
"The noise level was unbearable, conversation impossible.",noise level,negative
The menu prices are a bit expensive for what you get in quality and portion size.,quality,negative
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",hummus platter,neutral
Friendly staff that actually lets you enjoy your meal and the company you're with.,meal,positive
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,negative
Service was also horrible and the ambience is not that great.,Service,negative
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",semi-private boths,positive
"I found the food, service and value exceptional everytime I have been there.",value,positive
We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,pre-fixe menu,negative
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",pumkin tortelini,positive
"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",wine,positive
"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",back patio,positive
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",meal,positive
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,positive
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food,positive
I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,crowds,negative
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",noodle dishes,neutral
The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,neutral
"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",cuisine,positive
We've never had any problems with the staff but maybe we've been lucky?,staff,positive
This is one great place to eat pizza more out but not a good place for take-out pizza.,take-out pizza,negative
The spicy tuna and salmon are the best we've ever had.,salmon,positive
The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,brioche and lollies,positive
"It only took about five or so minutes to get an empty table, but standing up wasn't too bad.",table,positive
"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",food,positive
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",spice,negative
"A cool bar with great food, and tons of excellent beer.",beer,positive
"Do not get the Go Go Hamburgers, no matter what the reviews say.",Go Go Hamburgers,negative
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,priced,neutral
less wait time for me!,wait time,positive
He has visited Thailand and is quite expert on the cuisine.,cuisine,positive
Cozy romantic atomosphere with only around 15 tables at most.,atomosphere,positive
"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",decore,negative
Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.,Kosher dills,positive
This is the best sushi in new york city - hands down.,sushi,positive
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",lamb sausages,positive
Service was very prompt but slightly rushed.,Service,conflict
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,negative
"The view is spectacular, and the food is great.",view,positive
"The staff was very attentive, the ambience lovely, and the food superb.",ambience,positive
"I wasn't there for the Half-Price Saturday Night Special, but Tuesday Night.",Half-Price Saturday Night Special,neutral
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",menu,positive
Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,course,neutral
What makes this restaurant special are the authentic sichuan cooking and being the only one in NYC that offers authentic chongqing hotpot.,chongqing hotpot,positive
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Sea Eel,neutral
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,positive
"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.",cost,negative
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",beer,positive
For two people with tip was less than $25 bucks.,tip,neutral
Zero ambiance to boot.,ambiance,negative
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",service,neutral
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle,positive
"If you love seafood, you would love this place!",place,positive
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",Pastrami sandwich,positive
The aesthetics of this place are like an airport lounge.,aesthetics,negative
"However, they've got the most amazing pastrami and the soups hit the spot.",pastrami,positive
"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",seat,negative
The service was friendly and the atmosphere was casual.,atmosphere,positive
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,staff,positive
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",fish,neutral
"not only does make the best pizza in NY , maybe anywhere.",pizza,positive
"If you're looking for a great meal at a decent price, go to Del Frisco's!",price,positive
"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",food,neutral
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",decor,positive
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,amuse bouche,positive
"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar...",design,positive
"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",dinner,positive
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative
"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.",special,positive
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",service,positive
"The service, wine selection, ambiance are all outstanding and deserve recognition.",wine selection,positive
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",Peter's Favourite pizza with prosciutto and baby arugula,neutral
"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",Ambiance,negative
We thought that this place is using too much of MSG cooking in the foods.,MSG cooking,negative
"The service was a bit slow, but they were very friendly.",service,negative
The garlic mashed potatoes are hands down the best in the city!,garlic mashed potatoes,positive
Food was good not great not worth the wait or another visit,Food,conflict
"The food was pretty good, but a little flavorless and the portions very small, including dessert.",dessert,negative
This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.,night scene,positive
"Get your food to go, find a bench, and kick back with a plate of dumplings.",plate of dumplings,positive
"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.",delivery time,negative
I really recommend the very simple Unda (Egg) rolls.,Unda (Egg) rolls,positive
It took them 25 minutes to bring our appetizer.,appetizer,neutral
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,positive
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral
Food and service was okay.,Food,neutral
"While the prices are nothing special, the portions are huge.",portions,positive
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Sichuan food,neutral
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",portion,conflict
Although we were looking for regular lettuce and some walnuts the salads we got were great.,lettuce,neutral
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative
Our server checked on us maybe twice during the entire meal.,meal,neutral
The tuna and wasabe potatoes are excellent.,tuna,positive
I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,upstairs,positive
They need a kick out of it but until then the sushi is pretty good and the place is consistent.,sushi,positive
Service was also horrible and the ambience is not that great.,ambience,negative
"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",food,positive
We always get a sampling of appetizers and share.,appetizers,neutral
Service is fast and friendly.,Service,positive
We did have to wait at the bar for approx.,bar,neutral
The wine list is also really nice.,wine list,positive
A cool place to hang with your friends for a couple of healthy drinks and desserts.,desserts,positive
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,lotus leaf wrapped rice,neutral
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",place,positive
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",dinner,positive
"The bread and lamb chops I had before the meal were quite good, however.",meal,neutral
"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",food,negative
"The burger was great, also.",burger,positive
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,neutral
My husband and I enjoy Sangria.,Sangria,positive
Drinks way over priced.,Drinks,negative
This is an amazing place to try some roti rolls.,roti rolls,positive
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,positive
"Found service above average, but that could be because we were 13 of us.",service,positive
"The food is great, service is ok.",food,positive
"night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.",manager,positive
The service was excellent and the food was delicious.,service,positive
Bartender was unable to tear himself away from friends at bar.,bar,neutral
"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",prices,conflict
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,neutral
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,quality of food,positive
"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",shrimp appetizer,positive
"They have it all -- great price, food, and service.",service,positive
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,caviar,positive
"Largest and freshest pieces of sushi, and delicious!",pieces of sushi,positive
Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.,dulce de leche gelato,positive
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",steak frites,positive
We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,menu,negative
"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",lamb sandwhich,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,herbs,positive
Their sake martini is wonderful.,sake martini,positive
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",Pelligrino,positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,positive
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",food,positive
Taj Mahal offeres gret value and great food.,value,positive
The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,wintermelon,positive
The bruschetta and panini's are so yummy!,bruschetta,positive
i don't usually order wine with indian so i can't comment on their wine list or their wines.,wines,neutral
"The production is a symphony, alot of fun to experience.The food sublime for the most part.",food,positive
"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.",lazy susans,positive
"For appetizers, I recommend the shrimp fritters and dumplings.",shrimp fritters,positive
The food and staff always surprise me with the new heights they are taken to.,staff,positive
Decor is nice though service can be spotty.,service,negative
"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",rolls,negative
"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",lentil dish,negative
We also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them.,hot dogs,neutral
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral
The bar is very well stocked with interesting beers and well priced wines.,beers,positive
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",Quality of food,positive
"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",Chinese food,neutral
Great staff.,staff,positive
Veal Parmigana - Better than Patsy's!,Veal Parmigana,positive
Since my first dinner I have had the chance to have brunch at Orsay 3x.,dinner,neutral
If you are in search of the most authentic NYC deli experience look no further than the famous and historic Katz's Deli down on the Lower East Side.,deli,positive
"We have been to this place many times, and always have great food, wine, and service.",service,positive
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",dessert,positive
"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",Waiters,negative
The food there is so good that even to order out the wait is incredible.,wait,negative
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,Traditional French decour,positive
"After we got our sashimi order, I could not believe how small the portions were!",sashimi,neutral
Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,atmosphere,positive
My chow fun and chow see was really bland and oily.,chow fun and chow see,negative
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",tiramisu,positive
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",people,negative
Great value for the quality ingredients.,ingredients,positive
"Everything looks great, the drinks, the decor, the food, even the people.",decor,positive
While the food was good (certainly no Il Mulino) the service was horrendous.,food,positive
Sauce was watery and the food didn't have much flavor.,food,negative
"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.",drinks,positive
"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",appetizers,neutral
By far the best salad I have had in a fast food restaurant.,fast food,neutral
Ummm...the beer was cold.,beer,positive
"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.",vanilla gelato (with espresso),conflict
"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",food,negative
"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",Thai food,neutral
"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",sesame chicken,positive
"Forget the rush and the wait and the noise (which isn't actually that bad), I mean please, who goes to a steakhouse to be coddled and romantic?",noise,conflict
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",price,neutral
The food was mediocre at best but it was the horrible service that made me vow never to go back.,food,neutral
"The food was amazing, the service was so attentive and personable, and how about that ambience!",service,positive
"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",food,neutral
What came to our table was burned beyond recognition and stringy.,table,neutral
"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",mussels in spicy tomato sauce,positive
Try the green curry!!!,green curry,positive
"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",food,positive
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",ice cream,positive
Salads are a delicious way to begin the meal.,meal,positive
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,positive
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative
The red sliding doors may be unique but they do not block off the cold air from the outside.,doors,conflict
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Scallion Pancake,positive
"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",service,positive
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian dishes,positive
"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",food,positive
"Aside from the rushed service, we were very impressed with the food and the drinks.",service,negative
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",place,positive
black white shakes came out good also.,black white shakes,positive
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.",ambience,conflict
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative
"Not a large place, but it's cute and cozy.",place,conflict
The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative
The restaurant is rather small but we were lucky to get a table quickly.,table,positive
"I recommend their Pad See Ew, Pork Chops or Tofu plates.",Pork Chops,positive
"As far as the service goes, the waitresses were not particularly friendly, but they got the job done.",service,conflict
"The freshest, best variety, and the fastest delivery.",delivery,positive
The only disappointment was the coat check girls who didn't seem to know what a customer is on a realtively non-busy night (for the coat check girls).,coat check girls,negative
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",staff,negative
And they have these home made potato chips at the bar that are the most delicious things in the world!,potato chips,positive
The ceiling is amazing!,ceiling,positive
I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,dining,positive
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",fried chicken,neutral
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,positive
"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",space,negative
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",dinner,neutral
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,positive
These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,french indian fusion,positive
The food is tasty and portion sizes are appropriate.,portion sizes,positive
Mermaid Inn is an overall good restaurant with really good seafood.,seafood,positive
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",panini,positive
"The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.",dinner,neutral
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive
(Always ask the bartender for the SEASONAL beer!!!,SEASONAL beer,positive
Don't eat here unless you're starving for thai food and you work next door.,thai food,negative
"Not only was the food outstanding, but the little 'perks' were great.",food,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,positive
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",fat,negative
Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.,menu,positive
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive
They even have a section in the menu called American Chinese food!,menu,negative
"The food is very good for it's price, better than most fried dumplings I've had.",food,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,positive
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",bathroom,negative
We had champagne and caviar and felt like princesses!,champagne,positive
"The service was superb, they treat you like family.",service,positive
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,outside,neutral
"Their sushi, Kamikaze and other Rolls are fresh and well presented.",Kamikaze,positive
Nothing better than buying a snapple for $3.25 too.,snapple,positive
The menu choices are similar but the taste lacked more flavor than it looked.,flavor,negative
While the food was good (certainly no Il Mulino) the service was horrendous.,service,negative
The service was great as well.,service,positive
I grew up on these bagels.,bagels,positive
We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.,chinese food,positive
I had the mango chicken and i can't go on to tell you how delicious that was and the presentation was beatiful.,mango chicken,positive
"Top spot in town for Vietnamese classics, better than places that cost a lot more.",Vietnamese classics,positive
We got in line and were served while in line a bannan fritter.,served,neutral
Scalina Fedeli reminded me why service is so integral to fine dining.,dining,positive
"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.",jewish deli food,conflict
Service and food is what any one would expect when spending that type of money.,food,neutral
"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",salads,positive
"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",entrees,positive
This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,Japanese classic cuisine,positive
Every waitress and customer who passed by me bumped into my chair.,waitress,neutral
"The service was attentive, yet discreet.",service,positive
"The food was just OK, at least for what food was available.",food,neutral
"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",staff,positive
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",indian appetizers,positive
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",atmosphere,positive
"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",bagel,neutral
